SUN2017,WIND2017
1593.49,838.5
1633.28,889.12
1673.56,953.41
1711.28,995.45
1676.35,1029.51
1633.34,1043.49
1635.25,1133.13
1630.03,1226.05
1611.69,1271.13
1565.21,1310.93
1495.8,1284.17
1404.6,1356.82
1344.84,1403.99
1244.28,1413.41
1151.54,1375.37
1044.13,1377.34
927.58,1376.78
806.28,1407.11
680.54,1358.96
571.18,1370.87
448.33,1381.54
361.55,1392.18
277.54,1385.51
195.76,1398.63
138.57,1370.83
102.76,1379.99
61.68,1407.99
34.72,1445.44
14.82,1461.95
2.31,1454.66
0,1441.26
0,1348.69
0,1298.21
0,1290.45
0,1271.93
0,1218.86
0,1193.85
0,1219.23
0,1237.66
0,1205.61
0,1175.95
0,1133.15
0,1134.02
0,1116.22
0,1092.68
0,1087.75
0,1065.27
0,1054.94
0,1039.21
0,986.74
0,933.06
0,892.69
0,877.96
0,853.99
0,824.05
0,788.7
0,766.12
0,733.77
0,759.18
0,757.41
0.75,772.85
21.36,786.9
50.2,768.09
92.01,775.16
133.14,718.67
195.62,681.12
262.75,648.58
333.08,637.94
441.67,615.63
521.32,570.03
632.84,553.6
732.56,522.94
824.67,487.57
884.97,487.18
967.81,486.4
1062.93,474.14
1142.94,461.27
1219.66,454.5
1166.39,415.73
1142.65,372.21
1102.83,364.73
1003.79,386.89
1089.97,383.57
1045.61,381.11
1051.87,380.73
1088.34,406.93
1143.79,424.11
1159.4,458.62
1182.39,483.58
1195.49,503.78
1181.94,489.89
1148.05,484.15
1187.62,475.71
1277.88,470.32
1275.56,451.03
1388.24,421.92
1441.94,430.72
1471.77,461.29
1443.1,494.44
1496.83,479.98
1452.48,496.09
1458.33,482.88
1398.67,458.21
1345.99,419.54
1276.24,402.52
1197.77,366.71
1143.47,352.23
1066.36,362.09
1030.78,370.98
991.41,357.33
922.04,375.48
842.21,365.76
775.16,365.68
709.71,367.57
607.36,354.32
507.24,335.03
424.41,307.6
360.96,296.22
272.88,266.91
207.44,247.49
153.03,224.23
106.75,219.06
67.95,208.19
38.56,188.72
16.7,170.54
3.76,147.35
0,149.4
0,177.2
0,207.54
0,243.23
0,266.24
0,278.21
0,282.7
0,282.39
0,264.69
0,230.27
0,238.97
0,242.42
0,246.09
0,241.67
0,248.82
0,308.13
0,338.46
0,364.7
0,400.36
0,431.25
0,456.46
0,444.1
0,418.88
0,413.26
0,410.63
0,406.12
0,388.44
0,366.54
0,345.61
0,323
0.02,276.31
4.8,236.04
17.65,223.33
37.77,213.31
65.23,197.18
96.46,180.04
126.93,173.66
160.65,164.37
197.18,148.27
248.18,137.16
310.73,123.99
368.78,114.37
434.06,112.44
493.14,116.57
580.6,126.93
713.48,120.16
821.1,114.05
876.64,112.81
964.8,111.07
1011.59,108.8
1019.14,98.97
1061.37,102.61
1067.81,107.67
1065.16,115.07
1084.58,113.28
1083.24,116.08
1046.58,121.82
1076.34,125.81
1152.9,127.22
1241.03,141.54
1309.23,156.59
1411.58,156.48
1367.98,164.94
1348.44,158.25
1277.26,160.58
1195.93,157.91
1213.28,153
1301,150.74
1396.79,154.77
1455.11,152.36
1525.17,160.74
1519.62,172.66
1515.06,175.96
1448.87,172.07
1395.96,165.28
1313.09,155.44
1278.4,158.08
1220.16,145.71
1156.52,132.15
1081.22,124.24
991.98,121.61
876.07,108.04
767.93,104.07
677.77,106.51
586.23,106.43
488.17,94.51
406.15,92.48
320.16,86.8
245.12,84.86
181.81,90.05
130.69,85.81
86.77,82.51
50.35,87.97
25.73,93.92
12.36,101.12
3.33,107.29
0,112.97
0,109.38
0,97.93
0,94.1
0,89.46
0,87.65
0,84.67
0,77.71
0,66.59
0,65.21
0,66.53
0,67.56
0,61.85
0,58.63
0,55.98
0,52.15
0,50.23
0,53.92
0,55.78
0,58.33
0,60.83
0,58.49
0,59.15
0,62.11
0,63.26
0,59.09
0,56.2
0,50.7
0,43.18
0,37.57
0.85,37.02
28.67,35.23
59.37,41.08
98.66,47.55
142.05,45.74
193.62,39.26
256.64,39.83
334.72,45.51
421.78,48.17
516.62,48.99
626.07,46.57
742.33,43.83
859.51,46.42
995.8,43.94
1105.01,45.84
1215,45.85
1311.62,45.61
1408.51,45
1470.07,41.95
1515.97,38.68
1566.2,38.82
1593.74,37.11
1668.8,48.72
1742.35,54.77
1752.75,55.14
1774.1,54.8
1826.04,55.42
1877.74,54.33
1898.62,54.14
1862.41,56.49
1925.74,57.92
1867.5,58.24
1867.86,63.25
1870.94,69.86
1872.21,71.17
1830.14,72.06
1822.3,80.17
1841.31,85.62
1889.17,86.07
1788.25,92.19
1763.58,93.8
1725.87,94.73
1703.29,106.28
1620.06,107.43
1594.4,110.49
1548.29,108.18
1468.7,102.03
1382.24,107.79
1257.67,102.86
1164,103.82
1082.67,110.79
969.6,110.51
873.54,105
765.69,97.15
656.53,102.22
546.14,111.56
440.59,111.1
343.43,109.97
266.28,113.6
200.36,109.7
144.38,118.43
98.83,124.95
63.75,135.47
36.15,155.06
15.94,192.18
3.87,208.46
0,220.64
0,249.57
0,284.49
0,307.95
0,341.5
0,336.18
0,346.97
0,368.72
0,398.19
0,392.24
0,387.18
0,377.27
0,381.09
0,381.98
0,367.84
0,350.82
0,355.13
0,353.88
0,352.46
0,327.88
0,283.42
0,241.74
0,216.16
0,198.43
0,176.58
0,160.66
0,152.51
0,144.51
0,142.16
0,134.35
0.76,123.16
22.25,113.13
46.56,110.89
79.77,117.09
123.65,110.29
179.6,105.54
250.73,100.82
335.06,100.8
431.62,93.42
540.36,74.71
656.79,67.92
777.05,59.75
896.78,53.94
1015.14,46.81
1133.23,47.27
1250.91,46.16
